experiment,config,source_run,completed_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,macro_recall_mean,macro_recall_std,macro_precision_mean,macro_precision_std
main,paper_like,paper_like,5,0.862213382296833,0.02146160621445861,0.8449477350403974,0.02045491754833324,0.8430263038532338,0.02336121953699621,0.8449477350403974,0.02045491754833324,0.8443294309062865,0.025456937633760477
loss_ablation,ce_only,ce_only,5,0.8231846503540303,0.025146901237354583,0.8129109648970854,0.02126502149452735,0.8087464456239803,0.032067025448218434,0.8129109648970854,0.02126502149452735,0.8133192441399435,0.04127467720370987
loss_ablation,ce_unit,ce_unit,5,0.8387706029021528,0.013526570374309283,0.8182632282080643,0.015787789541736846,0.8176253906288619,0.019142828976500114,0.8182632282080643,0.015787789541736846,0.8216775005838108,0.02437238154480991
loss_ablation,ce_unit_tpk,ce_unit_tpk,5,0.8239299442169689,0.017632336047500845,0.8041325100014808,0.02306069011339097,0.8031312587658203,0.026462128087042625,0.8041325100014808,0.02306069011339097,0.8132386150580295,0.031589058312242166
loss_ablation,ce_unit_glc,ce_unit_glc,5,0.8676908457846982,0.012569381490588324,0.8600623029550268,0.02043467394206191,0.8549732895833493,0.025098687915957388,0.8600623029550268,0.02043467394206191,0.8575277858096209,0.03034599699880444
loss_ablation,full,paper_like,5,0.862213382296833,0.02146160621445861,0.8449477350403974,0.02045491754833324,0.8430263038532338,0.02336121953699621,0.8449477350403974,0.02045491754833324,0.8443294309062865,0.025456937633760477
conv_ablation,ra,paper_like,5,0.862213382296833,0.02146160621445861,0.8449477350403974,0.02045491754833324,0.8430263038532338,0.02336121953699621,0.8449477350403974,0.02045491754833324,0.8443294309062865,0.025456937633760477
conv_ablation,vanilla,vanilla,5,0.8290646770515181,0.05283058738007809,0.8225839665614816,0.05548699384103764,0.8206400254309114,0.055479664519201874,0.8225839665614816,0.05548699384103764,0.8261823805492872,0.051714584201429506
lambda_sweep,tpk_0_glc_0,ce_unit,5,0.8387706029021528,0.013526570374309283,0.8182632282080643,0.015787789541736846,0.8176253906288619,0.019142828976500114,0.8182632282080643,0.015787789541736846,0.8216775005838108,0.02437238154480991
lambda_sweep,tpk_0_glc_0.1,ce_unit_glc,5,0.8676908457846982,0.012569381490588324,0.8600623029550268,0.02043467394206191,0.8549732895833493,0.025098687915957388,0.8600623029550268,0.02043467394206191,0.8575277858096209,0.03034599699880444
lambda_sweep,tpk_0_glc_0.2,tpk_0_glc_0.2,5,0.8332410876776623,0.015282304695046593,0.8219050630843452,0.0156450060902516,0.8189983142668685,0.01826000993183163,0.8219050630843452,0.0156450060902516,0.8243335808335855,0.022752333979395065
lambda_sweep,tpk_0_glc_0.5,tpk_0_glc_0.5,5,0.8462747834437823,0.02796778165211589,0.8298287024676559,0.028768971882374584,0.8277606734598837,0.03133168313925203,0.8298287024676559,0.028768971882374584,0.8348492290889004,0.029681987889679868
lambda_sweep,tpk_0_glc_1,tpk_0_glc_1,5,0.8319582644506618,0.022558593600943,0.8066465561171942,0.036299261515095244,0.8108506895423373,0.037267721343046796,0.8066465561171942,0.036299261515095244,0.8212938675630559,0.037740690386288425
lambda_sweep,tpk_0.1_glc_0,ce_unit_tpk,5,0.8239299442169689,0.017632336047500845,0.8041325100014808,0.02306069011339097,0.8031312587658203,0.026462128087042625,0.8041325100014808,0.02306069011339097,0.8132386150580295,0.031589058312242166
lambda_sweep,tpk_0.1_glc_0.1,paper_like,5,0.862213382296833,0.02146160621445861,0.8449477350403974,0.02045491754833324,0.8430263038532338,0.02336121953699621,0.8449477350403974,0.02045491754833324,0.8443294309062865,0.025456937633760477
lambda_sweep,tpk_0.1_glc_0.2,tpk_0.1_glc_0.2,5,0.8454042644477535,0.02150603756456504,0.8326981286258928,0.024195273433102193,0.8293247369542589,0.01848354787498071,0.8326981286258928,0.024195273433102193,0.8345141219784468,0.013541423456436346
lambda_sweep,tpk_0.1_glc_0.5,tpk_0.1_glc_0.5,5,0.841511719627334,0.017449360406509656,0.8279310932268462,0.018601822036660626,0.8263923971580741,0.02140959448498485,0.8279310932268462,0.018601822036660626,0.8342707305725579,0.028575440123679914
lambda_sweep,tpk_0.1_glc_1,tpk_0.1_glc_1,5,0.8446002866354938,0.017245803164259072,0.8266102837183646,0.026150355062790048,0.8264581549120891,0.027866769476398066,0.8266102837183646,0.026150355062790048,0.8315959461148704,0.030837654829850007
lambda_sweep,tpk_0.2_glc_0.1,tpk_0.2_glc_0.1,5,0.85919306455713,0.02377561188183691,0.8528480717603862,0.016930558174429004,0.8466389407341041,0.02070482509154715,0.8528480717603862,0.016930558174429004,0.8454942657450889,0.023842187296355562
lambda_sweep,tpk_0.5_glc_0.1,tpk_0.5_glc_0.1,5,0.854138014959072,0.029849868740711088,0.837695867643213,0.036376813252844614,0.8364780875042745,0.040073253287685434,0.837695867643213,0.036376813252844614,0.8385598856961195,0.043652740304674045
capacity,paper_like_55k,paper_like,5,0.862213382296833,0.02146160621445861,0.8449477350403974,0.02045491754833324,0.8430263038532338,0.02336121953699621,0.8449477350403974,0.02045491754833324,0.8443294309062865,0.025456937633760477
capacity,paper_96k,paper_96k,5,0.843098280751534,0.023488167739076537,0.826925904339293,0.02456589723599817,0.8259791672229083,0.028303059911096374,0.826925904339293,0.02456589723599817,0.8346211860473172,0.029261465818793207
