stage,fold,paper_lambda1_tpk,paper_lambda2_glc,run_id,status,returncode,best_val_acc,best_val_acc_epoch,best_val_bacc,best_val_bacc_epoch,best_val_loss,best_val_loss_epoch,test_acc,test_bacc,test_loss,stdout,log_path,save_path
lambda2_l1_0,0,0.0,0.0,fold0_pl1_0_pl2_0,ok,0,0.6282051,43,0.6036982,74,0.6752431,42,0.5192308,0.4910045,0.7052385,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0/stdout.log,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0/tb,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0/model
lambda2_l1_0,0,0.0,0.05,fold0_pl1_0_pl2_0p05,ok,0,0.6346154,49,0.6004498,63,0.6744584,50,0.5192308,0.4850075,0.7662168,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0p05/stdout.log,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0p05/tb,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0p05/model
lambda2_l1_0,0,0.0,0.1,fold0_pl1_0_pl2_0p1,ok,0,0.6474359,93,0.617941,93,0.6771835,37,0.5448718,0.5094953,0.7391015,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0p1/stdout.log,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0p1/tb,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0p1/model
lambda2_l1_0,0,0.0,0.2,fold0_pl1_0_pl2_0p2,ok,0,0.6282051,27,0.5977011,76,0.6838915,56,0.5128205,0.4642679,0.7212529,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0p2/stdout.log,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0p2/tb,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0p2/model
lambda2_l1_0,0,0.0,0.5,fold0_pl1_0_pl2_0p5,ok,0,0.6153846,58,0.5922039,58,0.7141323,59,0.5384615,0.5127436,0.7691558,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0p5/stdout.log,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0p5/tb,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_0p5/model
lambda2_l1_0,0,0.0,1.0,fold0_pl1_0_pl2_1,ok,0,0.6666667,53,0.6426787,53,0.7538596,99,0.5512821,0.5212394,0.7968974,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_1/stdout.log,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_1/tb,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0_pl2_1/model
lambda2_l1_0p1,0,0.1,0.0,fold0_pl1_0p1_pl2_0,ok,0,0.6474359,56,0.6224388,57,0.9571586,15,0.5192308,0.494003,1.0257878,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0p1_pl2_0/stdout.log,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0p1_pl2_0/tb,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0p1_pl2_0/model
lambda2_l1_0p1,0,0.1,0.05,fold0_pl1_0p1_pl2_0p05,ok,0,0.6538462,53,0.6266867,53,0.9704835,26,0.5448718,0.5109945,1.0632076,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0p1_pl2_0p05/stdout.log,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0p1_pl2_0p05/tb,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0p1_pl2_0p05/model
lambda2_l1_0p1,0,0.1,0.1,fold0_pl1_0p1_pl2_0p1,ok,0,0.6282051,57,0.6021989,57,0.9625181,34,0.4935897,0.4605197,1.0327423,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0p1_pl2_0p1/stdout.log,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0p1_pl2_0p1/tb,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0p1_pl2_0p1/model
lambda2_l1_0p1,0,0.1,0.2,fold0_pl1_0p1_pl2_0p2,ok,0,0.6346154,96,0.6004498,97,0.9584689,50,0.5705128,0.5309845,1.0308532,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0p1_pl2_0p2/stdout.log,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0p1_pl2_0p2/tb,experiments/paper33_hparam_qc_pcorr_pos_top10_fold0_20260603_2310/runs/fold0_pl1_0p1_pl2_0p2/model
